site,grassType,lat,lon,spNum,n,soc,pr_growing,srad_growing,vpd_growing,tmean_growing,p,soilMoist,soilBD,agb,BGB_0_10,BGB_10_20,BGB_20_30,BGB_0_30,prop_top10,AGB_BGB_0_30,AGB_BGB_0_10,NIRveos
NMG-P022,Temperate steppe,37.647528,108.320389,5,0.056109,0.391883,77,2241.333333,125.3333333,20.17777778,0.598807,18,1.377117,435.179733,810.424533,,,,,,1.86227545,276.006958
NMG-P134,Temperate meadow steppe,46.577417,122.509694,9,0.330304,3.624379,94.11111111,2217.222222,101.2222222,19.83333333,0.490588,202.3333333,1.11,81.47,596.61,308.86,166.61,1072.08,124.5529725,13.15919971,7.323063704,276.1279907
XJYL-P018,Mountain meadows,44.2792,81.784725,12,0.638021,5.668591,49.11111111,2290.111111,88.66666667,13.83888889,1.173036,32.66666667,0.726633,359.226667,1331.24,379.66,188.69,1899.59,40.55297247,5.287998288,3.705849599,276.2815247
NMG-P130,Temperate steppe,44.887806,121.284278,6,0.152167,1.229127,75,2338.888889,123.2222222,21.23888889,0.805087,16.33333333,1.39,48.196667,1155.87,396.55,190.32,1742.74,219.5529725,36.1589319,23.98236376,276.3945923
NMG-P076,Desert steppe,44.178306,112.244389,3,0.050258,0.319428,26.88888889,2433.333333,152.3333333,19.46111111,0.281832,5.333333333,1.46,54.066667,180.16,72.29,17.38,269.83,34.55297247,4.990690475,3.33218247,276.5870056
XJYL-P040,Temperate steppe,43.866393,82.505661,9,0.220792,1.887495,35.33333333,2374.555556,151.5555556,19.92222222,0.311657,9,1.074933,402.003333,1667.71,734.64,459.88,2862.23,244.5529725,7.119916093,4.148497943,276.6286011
ALT-059,Temperate meadow steppe,48.233333,86.95,13,0.26663,2.547103,32.88888889,2300.666667,110.8888889,15.68333333,0.189859,30.88888889,1.003133,113.06,2290.160175,,,,,,20.25614873,276.6611023
NMG-P086,Temperate steppe,42.468028,112.953611,3,0.123867,0.854729,35.55555556,2471.444444,162.8888889,20.23888889,0.333567,56.66666667,1.59,180.34,682.35,93.53,49.04,824.92,256.5529725,4.574248641,3.78368637,276.7477417
XJYL-P064,Mountain meadows,43.3842,84.379264,10,0.426734,3.81453,58.33333333,2223.666667,45.11111111,9.155555556,1.294226,151.7777778,1.1022,81.666667,1603.08,495.6,202.98,2301.66,200.5529725,28.18359172,19.62955094,276.7633667
NMG-P056,Temperate steppe,40.057944,111.620278,6,0.037917,0.243737,80.33333333,2378.222222,123.7777778,19.43333333,0.586364,18.22222222,1.51,212.927333,1690.77,628.44,549.84,2869.05,128.5529725,13.4743152,7.940596335,276.8424683
NMG-P165,Temperate meadow steppe,48.25425,119.750583,12,0.203199,2.391014,82.66666667,2075,75.11111111,15.28333333,1.054599,29.22222222,1,369.066667,1689.79,755.42,201.36,2646.57,64.55297247,7.170980846,4.57854949,276.993103
NMG-P120,Lowland meadows,44.161556,116.37325,6,0.175583,1.43157,41.55555556,2354.444444,121,18.11666667,0.341748,8.777777778,1.22,158.206667,1705.38,548.54,435.2,2689.12,150.5529725,16.99751376,10.77944459,277.0294189
NMG-P081,Desert steppe,42.727083,114.652,4,0.03223,0.185718,46,2378.111111,138,18.96666667,0.442128,11.77777778,1.64,89.167333,1338.71,325.1,145.5,1809.31,166.5529725,20.29117547,15.0134579,277.1243591
NMG-P154,Lowland meadows,46.362944,118.630083,9,0.103433,0.828417,54.11111111,2224.111111,96.88888889,16.83333333,0.181629,56.77777778,1.47,105.3,1078.61,494.82,175.34,1748.77,147.5529725,16.60750237,10.24320988,277.2128296
NMG-P187,Lowland meadows,48.273889,118.473694,5,0.032348,0.226085,62.44444444,2125.222222,94.33333333,16.99444444,0.28853,58.44444444,1.55,66.32,1395.22,574.52,125.36,2095.1,210.5529725,31.59077201,21.03769602,277.2651062
ALT-115,Lowland meadows,47.366667,87.766667,8,0.190738,1.831226,17.55555556,2358.777778,148.5555556,20.00555556,0.80816,26.22222222,0.985833,473.51,3101.529351,,,,,,6.550082049,277.3551025
XJYL-P016,Desert steppe,43.934872,81.830958,2,0.123617,0.908561,28.66666667,2389.888889,169.5555556,21.11666667,1.031759,68.11111111,1.2648,44.51,179.42,59.56,31.98,270.96,158.5529725,6.087620759,4.031004269,277.6069641
NMG-P025,Desert steppe,38.522,107.264417,7,0.053219,0.411041,48.11111111,2232.777778,137.6666667,19.91111111,0.343488,15.55555556,1.33,57.03,875.26,191.62,119.84,1186.72,170.5529725,20.80869718,15.34736104,277.9594116
XJYL-P074,Mountain meadows,43.194099,84.339347,15,0.654518,6.700532,51.66666667,2259.333333,46.88888889,9.894444444,1.359112,11,0.6222,102.73,1807.66,720.42,275,2803.08,45.55297247,27.28589506,17.59622311,277.9829407
NMG-P083,Temperate steppe,42.4405,114.597333,5,0.148754,1.132159,48.44444444,2399.444444,133.6666667,18.76666667,1.039,42.33333333,1.28,326.68,1232,509.27,367.43,2108.7,51.55297247,6.454940615,3.771274642,277.9846497
ALT-003,Desert steppe,47.55,86.333333,7,0.054606,0.296685,30.55555556,2333.444444,142.7777778,18.88333333,0.419288,23.44444444,1.874467,39.82,2461.402288,,,,,,61.81321668,278.0415039
NMG-P173,Temperate steppe,49.317722,117.541083,6,0.231828,2.03683,61.22222222,2141.333333,95.11111111,17.22777778,0.349689,8.555555556,1.23,391.43,1286.02,526.02,490.78,2302.82,44.55297247,5.883095317,3.285440564,278.134491
NMG-P107,Temperate steppe,45.360806,117.063694,5,0.1854,1.655416,35.22222222,2311.111111,118.3333333,18.35,0.834554,76.22222222,1.25,316.43,350.75,73.07,28.26,452.08,4.552972472,1.42868881,1.108460007,278.1547852
NMG-P111,Lowland meadows,44.089861,117.76375,6,0.226289,2.010898,53.22222222,2316.555556,100.6666667,17.00555556,0.324748,26.22222222,1.13,124.4,1463.43,659.94,274.11,2397.48,258.5529725,19.27234727,11.76390675,278.174469
XJYL-P085,Desert steppe,43.306642,82.529905,8,0.153387,1.134651,31.22222222,2386.222222,172.3333333,21.58888889,0.737448,29.33333333,1.2274,104.88,682.02,105.55,112.37,899.94,78.55297247,8.580663616,6.502860412,278.2193298
NMG-P021,Temperate steppe,37.334,108.944,6,0.05446,0.322071,94.22222222,2244.333333,115,19.33333333,0.871817,12.44444444,1.4,305.466667,1194.19,1069.48,638.5,2902.17,253.5529725,9.50077476,3.909395456,278.3023376
XJYL-P115,Temperate steppe,43.213727,81.627149,12,0.598964,5.441792,37.55555556,2365.777778,145.4444444,18.80555556,0.746042,30.11111111,1.003967,127.816667,1480.64,506.32,238.38,2225.34,152.5529725,17.41040548,11.58409177,278.3302612
XJYL-P048,Temperate steppe,43.876767,82.760696,9,0.308379,3.139157,40.55555556,2356.555556,133.3333333,18.48333333,0.976898,20.11111111,1.053633,216,695.66,225.07,87.36,1008.09,29.55297247,4.667083333,3.220648148,278.3385315
ALT-194,Temperate steppe,46.65,90.783333,8,0.149226,1.197596,16.44444444,2278.444444,101,14.51111111,0.352332,41.77777778,1.5452,252.242667,1343.161189,,,,,,5.324877052,278.4693298
NMG-P160,Lowland meadows,46.295417,120.84775,7,0.259645,2.613289,84.55555556,2216.777778,84.33333333,16.81666667,0.163169,147.4444444,1.27,210.78,880.78,181.22,109.45,1171.45,237.5529725,5.557690483,4.178669703,278.5298157
NMG-P147,Temperate meadow steppe,45.698833,117.882778,7,0.151819,1.297113,43.22222222,2278.777778,106.2222222,17.56111111,0.713651,176.8888889,1.38,217.983333,949.31,477.09,248.13,1674.53,70.55297247,7.68191759,4.354965983,278.6460266
NMG-P179,Lowland meadows,48.366028,116.206194,6,0.131563,0.972577,37.66666667,2218.333333,110.6666667,18.12777778,1.102857,7.222222222,1.5,230.766667,1758.65,581.67,453.71,2794.03,112.5529725,12.10759784,7.620901332,278.6726074
XJYL-P047,Temperate steppe,43.779292,82.900561,10,0.282084,2.401912,39.22222222,2357.777778,142.3333333,19.24444444,0.205436,30.11111111,1.113233,155.976667,677.8,387.13,98.08,1163.01,66.55297247,7.456307551,4.345521757,278.8020935
NMG-P058,Temperate steppe,39.829944,112.258333,7,0.088318,0.618666,89.44444444,2326.555556,96.77777778,16.83888889,0.175388,120.1111111,1.26,322.1,103.31,51.58,32.99,187.88,0.552972472,0.583297113,0.320738901,278.8642273
NMG-P044,Lowland meadows,40.482361,108.762778,2,0.024307,0.066963,48,2415,160,21.18888889,0.481809,17.22222222,1.585367,107.859733,200.864533,,,,,,1.862275452,278.9855042
NMG-P039,Desert steppe,40.238694,109.967417,5,0.044177,0.259118,67.22222222,2424,133.2222222,20.11666667,0.3615,31.88888889,1.46,44.695,569.98,340.04,314.7,1224.72,197.5529725,27.40172279,12.7526569,279.0687256
NMG-P013,Desert steppe,38.936889,105.657639,7,0.040082,0.255528,30.11111111,2291.444444,171.5555556,20.78888889,0.450859,17.55555556,1.6,430.932,1026.91,438.21,404.12,1869.24,229.5529725,4.337668124,2.382997782,279.1961365
ALT-193,Mountain meadows,46.75,90.883333,13,0.367167,3.671291,21.77777778,2207.666667,38.88888889,6.911111111,1.364251,136,1.329567,122.896667,2142.155649,,,,,,17.43054308,279.2441101
XJYL-P103,Temperate steppe,43.113805,82.319182,5,0.475615,4.194272,42.88888889,2346.777778,99.44444444,15.08333333,0.658974,22.11111111,1.070533,104.666667,1234.14,206.56,81.52,1522.22,136.5529725,14.54350314,11.79114646,279.282959
XJYL-P113,Temperate steppe,43.298147,81.701423,12,0.400798,3.319918,41.55555556,2335.777778,116.4444444,16.63888889,0.80118,30.33333333,0.9957,226.17,1109.42,354.98,491.06,1955.46,81.55297247,8.645974267,4.905248265,279.3075256
XJYL-P104,Temperate steppe,43.110163,82.344,6,0.169114,1.360671,42.88888889,2346.444444,103,15.47222222,0.517477,129.4444444,1.015633,95.333333,1592.69,507.62,271.51,2371.82,189.5529725,24.87923086,16.70653852,279.3267212
